hub_id,hour,arrivals
Berlin_Potsdamer_Platz,18.0,2
Berlin_Potsdamer_Platz,19.0,2
Berlin_Potsdamer_Platz,20.0,0
Berlin_Potsdamer_Platz,21.0,0
Berlin_Potsdamer_Platz,22.0,0
Berlin_Potsdamer_Platz,23.0,0
Berlin_Prenzlauer_Berg,9.0,0
Berlin_Prenzlauer_Berg,10.0,0
Berlin_Prenzlauer_Berg,11.0,0
Berlin_Prenzlauer_Berg,12.0,0
Berlin_Prenzlauer_Berg,13.0,2
Berlin_Prenzlauer_Berg,14.0,2
Berlin_Prenzlauer_Berg,15.0,8
Berlin_Prenzlauer_Berg,16.0,19
Berlin_Prenzlauer_Berg,17.0,37
Berlin_Prenzlauer_Berg,18.0,54
Berlin_Prenzlauer_Berg,19.0,49
Berlin_Prenzlauer_Berg,20.0,15
Berlin_Prenzlauer_Berg,21.0,3
Berlin_Prenzlauer_Berg,22.0,1
Berlin_Prenzlauer_Berg,23.0,0
Berlin_Rehberge,9.0,0
Berlin_Rehberge,10.0,0
Berlin_Rehberge,11.0,0
Berlin_Rehberge,12.0,0
Berlin_Rehberge,13.0,1
Berlin_Rehberge,14.0,5
Berlin_Rehberge,15.0,11
Berlin_Rehberge,16.0,23
Berlin_Rehberge,17.0,48
Berlin_Rehberge,18.0,54
Berlin_Rehberge,19.0,47
Berlin_Rehberge,20.0,31
Berlin_Rehberge,21.0,8
Berlin_Rehberge,22.0,0
Berlin_Rehberge,23.0,0
Berlin_Remise,9.0,0
Berlin_Remise,10.0,0
Berlin_Remise,11.0,0
Berlin_Remise,12.0,0
Berlin_Remise,13.0,1
Berlin_Remise,14.0,1
Berlin_Remise,15.0,6
Berlin_Remise,16.0,14
Berlin_Remise,17.0,24
Berlin_Remise,18.0,34
Berlin_Remise,19.0,28
Berlin_Remise,20.0,16
Berlin_Remise,21.0,4
Berlin_Remise,22.0,1
Berlin_Remise,23.0,0
Berlin_Rosenthaler,9.0,0
Berlin_Rosenthaler,10.0,0
Berlin_Rosenthaler,11.0,0
Berlin_Rosenthaler,12.0,0
Berlin_Rosenthaler,13.0,0
Berlin_Rosenthaler,14.0,0
Berlin_Rosenthaler,15.0,0
Berlin_Rosenthaler,16.0,0
Berlin_Rosenthaler,17.0,1
Berlin_Rosenthaler,18.0,1
Berlin_Rosenthaler,19.0,4
Berlin_Rosenthaler,20.0,3
Berlin_Rosenthaler,21.0,0
Berlin_Rosenthaler,22.0,0
Berlin_Rosenthaler,23.0,0
Berlin_Savignyplatz,9.0,1
Berlin_Savignyplatz,10.0,0
Berlin_Savignyplatz,11.0,0
Berlin_Savignyplatz,12.0,2
Berlin_Savignyplatz,13.0,2
Berlin_Savignyplatz,14.0,5
Berlin_Savignyplatz,15.0,2
Berlin_Savignyplatz,16.0,7
