hub_id,hour,n_sessions,mu_init,sigma_init,mu_target,sigma_target,source
Berlin_Heinrich_Heine,21,0,0.3473,0.2183,0.9913,0.0261,interpolated
Berlin_Heinrich_Heine,22,0,0.3473,0.2183,0.9913,0.0261,interpolated
Berlin_Heinrich_Heine,23,0,0.3473,0.2183,0.9913,0.0261,interpolated
Berlin_Hospital,9,0,0.2469,0.1088,0.9601,0.0957,interpolated
Berlin_Hospital,10,0,0.2469,0.1088,0.9601,0.0957,interpolated
Berlin_Hospital,11,0,0.2469,0.1088,0.9601,0.0957,interpolated
Berlin_Hospital,12,0,0.2469,0.1088,0.9601,0.0957,interpolated
Berlin_Hospital,13,0,0.2469,0.1088,0.9601,0.0957,interpolated
Berlin_Hospital,14,1,0.2469,0.1088,0.9601,0.0957,fallback_hub (n=1)
Berlin_Hospital,15,4,0.2469,0.1088,0.9601,0.0957,fallback_hub (n=4)
Berlin_Hospital,16,1,0.2469,0.1088,0.9601,0.0957,fallback_hub (n=1)
Berlin_Hospital,17,5,0.254,0.057,0.9538,0.1034,empirical
Berlin_Hospital,18,6,0.3169,0.1182,0.9395,0.1483,empirical
Berlin_Hospital,19,3,0.2469,0.1088,0.9601,0.0957,fallback_hub (n=3)
Berlin_Hospital,20,1,0.2469,0.1088,0.9601,0.0957,fallback_hub (n=1)
Berlin_Hospital,21,0,0.2469,0.1088,0.9601,0.0957,interpolated
Berlin_Hospital,22,0,0.2469,0.1088,0.9601,0.0957,interpolated
Berlin_Hospital,23,0,0.2469,0.1088,0.9601,0.0957,interpolated
Berlin_Humboldthain,9,0,0.2861,0.1021,0.9901,0.0381,interpolated
Berlin_Humboldthain,10,0,0.2861,0.1021,0.9901,0.0381,interpolated
Berlin_Humboldthain,11,0,0.2861,0.1021,0.9901,0.0381,interpolated
Berlin_Humboldthain,12,0,0.2861,0.1021,0.9901,0.0381,interpolated
Berlin_Humboldthain,13,0,0.2861,0.1021,0.9901,0.0381,interpolated
Berlin_Humboldthain,14,1,0.2861,0.1021,0.9901,0.0381,fallback_hub (n=1)
Berlin_Humboldthain,15,0,0.2861,0.1021,0.9901,0.0381,interpolated
Berlin_Humboldthain,16,2,0.2861,0.1021,0.9901,0.0381,fallback_hub (n=2)
Berlin_Humboldthain,17,5,0.3257,0.0541,1.0,0.01,empirical
Berlin_Humboldthain,18,3,0.2861,0.1021,0.9901,0.0381,fallback_hub (n=3)
Berlin_Humboldthain,19,8,0.2664,0.1491,1.0,0.01,empirical
Berlin_Humboldthain,20,2,0.2861,0.1021,0.9901,0.0381,fallback_hub (n=2)
Berlin_Humboldthain,21,1,0.2861,0.1021,0.9901,0.0381,fallback_hub (n=1)
Berlin_Humboldthain,22,0,0.2861,0.1021,0.9901,0.0381,interpolated
Berlin_Humboldthain,23,0,0.2861,0.1021,0.9901,0.0381,interpolated
Berlin_Innenstadt,9,0,0.2456,0.1061,0.9761,0.0677,interpolated
Berlin_Innenstadt,10,0,0.2456,0.1061,0.9761,0.0677,interpolated
Berlin_Innenstadt,11,0,0.2456,0.1061,0.9761,0.0677,interpolated
Berlin_Innenstadt,12,0,0.2456,0.1061,0.9761,0.0677,interpolated
Berlin_Innenstadt,13,0,0.2456,0.1061,0.9761,0.0677,interpolated
Berlin_Innenstadt,14,8,0.2456,0.1061,0.9761,0.0677,empirical
Berlin_Innenstadt,15,13,0.2965,0.1349,0.9429,0.1372,empirical
Berlin_Innenstadt,16,22,0.248,0.1438,0.9713,0.091,empirical
Berlin_Innenstadt,17,51,0.3131,0.1233,0.9797,0.051,empirical
Berlin_Innenstadt,18,82,0.2713,0.1315,0.9718,0.0747,empirical
Berlin_Innenstadt,19,84,0.2747,0.143,0.9802,0.0563,empirical
Berlin_Innenstadt,20,40,0.2581,0.1418,0.9759,0.0846,empirical
Berlin_Innenstadt,21,12,0.2248,0.1403,0.9751,0.0591,empirical
Berlin_Innenstadt,22,0,0.2248,0.1403,0.9751,0.0591,interpolated
Berlin_Innenstadt,23,0,0.2248,0.1403,0.9751,0.0591,interpolated
Berlin_Linden,9,0,0.3785,0.1195,0.9843,0.0364,interpolated
Berlin_Linden,10,0,0.3785,0.1195,0.9843,0.0364,interpolated
Berlin_Linden,11,0,0.3785,0.1195,0.9843,0.0364,interpolated
